441802794;41.00849;-8.638968;-0.1507784;0.7157331
441802796;41.00849;-8.638078;-0.1507629;0.7157331
441802854;41.00847;-8.634525;-0.1507009;0.7157329
441802954;41.01247;-8.635453;-0.1507171;0.7158027
441802957;41.01152;-8.634542;-0.1507012;0.7157861
441802961;41.01134;-8.634403;-0.1506988;0.7157829
441802977;41.0111;-8.634294;-0.1506968;0.7157788
441802980;41.01077;-8.634224;-0.1506956;0.715773
441803004;41.013;-8.639812;-0.1507932;0.715812
441803007;41.01237;-8.639822;-0.1507933;0.7158008
441803009;41.0117;-8.639832;-0.1507935;0.7157893
441803013;41.01117;-8.639839;-0.1507936;0.71578
441803014;41.01036;-8.639828;-0.1507934;0.7157658
441803015;41.00941;-8.639832;-0.1507935;0.7157492
441803016;41.0085;-8.639839;-0.1507936;0.7157333
441803017;41.00819;-8.639846;-0.1507938;0.7157279
441803018;41.00721;-8.63987;-0.1507942;0.7157109
441803019;41.00664;-8.639876;-0.1507943;0.7157009
441803020;41.00593;-8.639898;-0.1507947;0.7156885
441803021;41.00535;-8.639911;-0.1507949;0.7156784
441803022;41.00468;-8.639927;-0.1507952;0.7156666
441803023;41.00397;-8.639933;-0.1507953;0.7156543
441803024;41.00314;-8.639944;-0.1507955;0.7156397
441803025;41.00229;-8.639956;-0.1507957;0.7156249
441803026;41.00136;-8.639974;-0.150796;0.7156088
441803027;41.00077;-8.639984;-0.1507962;0.7155985
441803029;40.99947;-8.639996;-0.1507964;0.7155757
441803031;40.99774;-8.64001;-0.1507966;0.7155455
441803068;41.01167;-8.643991;-0.1508661;0.7157887
441803070;41.01167;-8.643006;-0.1508489;0.7157886
441803072;41.01168;-8.641457;-0.1508219;0.7157888
441803074;41.0117;-8.640762;-0.1508097;0.7157891
441803076;41.0117;-8.638937;-0.1507779;0.7157893
441803078;41.01172;-8.638315;-0.150767;0.7157895
441803092;41.00945;-8.643492;-0.1508574;0.7157499
441803095;41.00993;-8.643177;-0.1508519;0.7157582
441803097;41.01002;-8.643026;-0.1508493;0.7157598
441803099;41.01029;-8.642287;-0.1508364;0.7157646
441803101;41.01062;-8.641381;-0.1508206;0.7157703
441803103;41.01084;-8.640759;-0.1508097;0.7157741
441803105;41.01107;-8.640105;-0.1507983;0.7157781
441803107;41.0115;-8.638953;-0.1507782;0.7157857
441803110;41.01181;-8.638022;-0.1507619;0.715791
441803112;41.01201;-8.637466;-0.1507522;0.7157946
441803114;41.01217;-8.637014;-0.1507443;0.7157974
441803119;41.01225;-8.636613;-0.1507373;0.7157987
441803121;41.01226;-8.636218;-0.1507304;0.7157989
441803124;41.0123;-8.635857;-0.1507241;0.7157997
441803126;41.01236;-8.635661;-0.1507207;0.7158007
441803128;41.01259;-8.635288;-0.1507142;0.7158048
441803130;41.0127;-8.6351;-0.1507109;0.7158067
441803133;41.01273;-8.634682;-0.1507036;0.7158073
441803135;41.01281;-8.634237;-0.1506959;0.7158085
441803138;41.01291;-8.634094;-0.1506934;0.7158103
441803141;41.01342;-8.633572;-0.1506843;0.7158192
441803143;41.01361;-8.633464;-0.1506824;0.7158225
441803282;41.01104;-8.643992;-0.1508661;0.7157778
441803285;41.01104;-8.643683;-0.1508607;0.7157778
441803287;41.01105;-8.643003;-0.1508489;0.7157778
441803289;41.01106;-8.641406;-0.150821;0.715778
441803291;41.01106;-8.640757;-0.1508096;0.7157781
441803296;41.00941;-8.638949;-0.1507781;0.7157492
441803298;41.01036;-8.638955;-0.1507782;0.7157658
441803301;41.01238;-8.638947;-0.1507781;0.7158011
441803304;41.01305;-8.639054;-0.1507799;0.7158127
441803316;41.013;-8.640744;-0.1508094;0.7158119
441803319;41.013;-8.641554;-0.1508236;0.7158118
441803322;41.013;-8.643009;-0.150849;0.7158118
441803324;41.01299;-8.643715;-0.1508613;0.7158116
441803326;41.01299;-8.643967;-0.1508657;0.7158117
441803327;41.01281;-8.643971;-0.1508658;0.7158085
441803328;41.0123;-8.64398;-0.1508659;0.7157996
441803329;41.01042;-8.644005;-0.1508663;0.7157669
441803330;41.00945;-8.643927;-0.150865;0.7157499
441803331;41.00886;-8.644022;-0.1508666;0.7157397
441803332;41.0081;-8.643953;-0.1508655;0.7157264
441803333;41.00722;-8.64399;-0.1508661;0.7157111
441803334;41.00665;-8.644006;-0.1508664;0.715701
441803335;41.00595;-8.644018;-0.1508666;0.7156889
441803337;41.00533;-8.644038;-0.1508669;0.7156781
441803339;41.00469;-8.644055;-0.1508672;0.7156668
441803340;41.00398;-8.643974;-0.1508658;0.7156544
441803342;41.00319;-8.643847;-0.1508636;0.7156406
441803344;41.00219;-8.643121;-0.1508509;0.7156232
441803347;41.0022;-8.642394;-0.1508382;0.7156233
441803349;41.00112;-8.642416;-0.1508386;0.7156045
441803356;41.00065;-8.642426;-0.1508388;0.7155964
441803367;41.01231;-8.643008;-0.150849;0.7157999
441803370;41.01234;-8.641499;-0.1508226;0.7158004
441803372;41.01235;-8.640737;-0.1508093;0.7158006
441803375;41.01239;-8.638562;-0.1507713;0.7158012
441803382;41.01222;-8.638486;-0.15077;0.7157983
441803385;41.01219;-8.63806;-0.1507626;0.7157978
441803390;41.01369;-8.641607;-0.1508245;0.7158239
441803393;41.01368;-8.642858;-0.1508463;0.7158238
441803401;41.01334;-8.643006;-0.1508489;0.7158179
441803403;41.01063;-8.642777;-0.1508449;0.7157705
441803408;41.01043;-8.643288;-0.1508538;0.7157671
441803426;41.01392;-8.641619;-0.1508247;0.7158279
441803428;41.00943;-8.641389;-0.1508207;0.7157496
